State,Pollster,Date,Type,Sample,Dem,GOP,Kennedy,Stein,Oliver,West,Matchup,Partisan,Private,"Sample
size[b]","Others/
Undecided"
PA,Emerson,07/23/2024,RV,,49.0,51.0,,,,,Y,,,,
National,CNN/SSRS[34],07/23/2024, RV,,46.0,49.0,,,,,Y,,,"1,631 RV",—
National,Reuters/Ipsos,07/23/2024,RV,,44.0,42.0,,,,,Y,,,1018,14%
National,ActiVote[36],07/23/2024, LV,,49.5,50.5,,,,,Y,,,"1,000 LV",—
GA,Emerson,07/23/2024,RV,,43.0,46.0,4.0,1.0,,1.0,N,,,,
PA,Emerson,07/23/2024,RV,,44.0,46.0,3.0,1.0,,1.0,N,,,,
WI,Beacon,07/24/2024,RV,,46.0,46.0,5.0,1.0,,1.0,N,,,,
WI,Redfield,07/24/2024,LV,,44.0,44.0,5.0,1.0,1.0,,N,,,,
National,Siena College,07/24/2024,LV,,47.0,48.0,,,,,Y,,,1141,5%
National,CNBC[32],07/24/2024, RV,,44.0,43.0,,,,,Y,,,"2,137 RV",13%
National,Morning Consult[8],07/24/2024, RV,,46.0,45.0,,,,,Y,,,"11,297 RV",9%
WI,Beacon,07/24/2024,RV,,49.0,50.0,,,,,Y,,,,
MN,Beacon,07/24/2024,RV,,47.0,41.0,7.0,1.0,,1.0,N,,,,
FL,Targoz,07/24/2024,LV,,42.0,47.0,4.0,0.0,1.0,0.0,N,,,,
MN,Beacon,07/24/2024,RV,,52.0,46.0,,,,,Y,,,,
NC,Redfield,07/24/2024,LV,,43.0,46.0,4.0,,,,N,,,,
NV,Redfield,07/24/2024,LV,,43.0,45.0,5.0,1.0,,,N,,,,
MN,Redfield,07/24/2024,LV,,44.0,41.0,6.0,1.0,,,N,,,,
MI,Redfield,07/24/2024,LV,,41.0,44.0,7.0,,,,N,,,,
MI,Glengariff,07/24/2024,LV,,42.0,41.0,10.0,1.0,1.0,,N,,,,
NH,UNH,07/24/2024,LV,,53.0,46.0,,,,,N,,,,
GA,Redfield,07/24/2024,LV,,42.0,47.0,3.0,,1.0,,N,,,,
AZ,Redfield,07/24/2024,LV,,43.0,46.0,5.0,1.0,,,N,,,,
PA,Redfield,07/24/2024,LV,,42.0,46.0,5.0,,,,N,,,,
MI,Beacon,07/24/2024,RV,,43.0,45.0,7.0,1.0,,1.0,N,,,,
MI,Beacon,07/24/2024,RV,,49.0,49.0,,,,,Y,,,,
ME,UNH,07/24/2024,LV,,48.0,40.0,4.0,1.0,1.0,1.0,N,,,,
ME,UNH,07/24/2024,LV,,54.0,45.0,,,,,Y,,,,
NH,UNH,07/24/2024,LV,,49.0,43.0,4.0,,,,N,,,,
PA,Beacon,07/24/2024,RV,,49.0,49.0,,,,,Y,,,,
PA,Beacon,07/24/2024,RV,,45.0,43.0,7.0,1.0,,1.0,N,,,,
FL,Redfield,07/24/2024,LV,,39.0,47.0,5.0,0.0,1.0,,N,,,,
WA,PPP,07/25/2024,LV,,52.0,38.0,,,,,Y,D,,,
ME2,UNH,07/25/2024,LV,,40.0,44.0,5.0,3.0,1.0,1.0,N,,,,
ME1,UNH,07/25/2024,LV,,56.0,36.0,2.0,1.0,0.0,0.0,N,,,,
National,Angus Reid Global,07/25/2024, RV,,44.0,42.0,,,,,Y,,,"1,743 RV",14%[c]
National,Wall Street Journal[28],07/25/2024, RV,,47.0,49.0,,,,,Y,,,"1,000 RV",—
National,Atlas Intel,07/25/2024,RV,,48.0,50.0,,,,,Y,,,1980,2%
MN,SurveyUSA,07/25/2024,LV,,50.0,40.0,,,,,Y,,,,
NH,St. Anselm,07/25/2024,LV,,50.0,44.0,3.0,,,,Y,,,,
PA,Bullfinch,07/25/2024,RV,,48.0,47.0,,,,,Y,,,,
PA,Bullfinch,07/25/2024,RV,,44.0,44.0,6.0,1.0,,1.0,N,,,,
MI,SoCal,07/26/2024,RV,,46.0,49.0,,,,,N,R,,,
OR,Hoffman,07/26/2024,LV,,45.0,40.0,7.0,1.0,,,N,,,,
OR,Hoffman,07/26/2024,LV,,49.0,44.0,,,,,Y,,,,
CA,Capitol Weekly,07/27/2024,LV,,59.0,35.0,5.0,,,,N,,,,
FL,University North Florida,07/27/2024,LV,,42.0,49.0,,,,,N,,,,
National,FAU/Mainstreet Research[26],07/27/2024,LV,,48.0,46.0,,,,,Y,,,952,6%
AZ,Morning Consult,07/28/2024,RV,,49.0,47.0,,,,,Y,,,,
NC,Morning Consult,07/28/2024,RV,,46.0,48.0,,,,,Y,,,,
NH,Emerson,07/28/2024,RV,,48.0,41.0,6.0,1.0,,,N,,,,
NH,Emerson,07/28/2024,RV,,52.0,48.0,,,,,Y,,,,
National,Morning Consult,07/28/2024, RV,,47.0,46.0,,,,,Y,,,"11,538 RV",7%
WI,Morning Consult,07/28/2024,RV,,49.0,47.0,,,,,Y,,,,
National,Reuters/Ipsos[24],07/28/2024, RV,,43.0,42.0,,,,,Y,,,876 RV,15%
National,Harvard/Harris[25],07/28/2024, RV,,45.0,48.0,,,,,Y,,,"2,196 RV",7%
NV,Morning Consult,07/28/2024,RV,,47.0,45.0,,,,,Y,,,,
PA,Susquehanna,07/28/2024,LV,,47.0,43.0,3.0,0.0,,,N,,,,
MI,Morning Consult,07/28/2024,RV,,53.0,42.0,,,,,Y,,,,
GA,Morning Consult,07/28/2024,RV,,47.0,47.0,,,,,Y,,,,
OH,Fabrizio Lee,07/28/2024,LV,,39.0,48.0,9.0,1.0,1.0,,N,,,,
OH,Fabrizio Lee,07/28/2024,LV,,42.0,52.0,,,,,Y,,,,
National,Leger,07/28/2024, LV,,49.0,46.0,,,,,Y,,,776 LV,5%
PA,Morning Consult,07/28/2024,RV,,46.0,50.0,,,,,Y,,,,
PA,POS Strategies,07/29/2024,LV,,48.0,45.0,,,,,Y,R,,,
National,McLaughlin & Associates[22],07/29/2024, LV,,45.0,47.0,,,,,Y,,,"1,000 LV",8%
NV,POS Strategies,07/29/2024,LV,,45.0,46.0,,,,,Y,R,,,
MI,POS Strategies,07/29/2024,LV,,45.0,45.0,,,,,Y,R,,,
WI,POS Strategies,07/29/2024,LV,,48.0,46.0,,,,,Y,R,,,
AZ,POS Strategies,07/29/2024,LV,,43.0,48.0,,,,,Y,R,,,
AZ,PPP,07/30/2024,RV,,47.0,49.0,,,,,Y,D,,,
GA,PPP,07/30/2024,RV,,48.0,47.0,,,,,Y,D,,,
PA,PPP,07/30/2024,RV,,47.0,48.0,,,,,Y,D,,,
National,Civiqs/Daily Kos[20],07/30/2024, RV,,49.0,45.0,,,,,Y,D,,"1,123 RV",6%
GA,InsiderAdvantage,07/30/2024,LV,,49.0,47.0,,,,,Y,,,,
GA,Fabrizio Lee,07/31/2024,LV,,44.0,46.0,4.0,1.0,,2.0,N,,,,
GA,Fabrizio Lee,07/31/2024,LV,,48.0,48.0,,,,,Y,,,,
AZ,Peak Insights,08/01/2024,LV,800.0,42.0,44.0,11.0,,,,N,R,,,
National,Marquette Law,08/01/2024,LV,,53.0,47.0,,,,,Y,,,638,
NY,Siena,08/01/2024,LV,,49.0,37.0,7.0,2.0,1.0,1.0,N,,,,
WI,Marquette,08/01/2024,LV,,50.0,49.0,,,,,Y,,,,
PA,Fabrizio Lee,08/01/2024,LV,,45.0,45.0,4.0,,,,N,R,,,
PA,Fabrizio Lee,08/01/2024,LV,,48.0,48.0,,,,,Y,R,,,
WI,Marquette,08/01/2024,LV,,46.0,45.0,6.0,1.0,1.0,,N,,,,
NY,Siena,08/01/2024,LV,,53.0,39.0,,,,,Y,,,,
National,Issues & Insights/TIPP,08/02/2024, RV,,46.0,45.0,,,,,Y,,,"1,326 RV",6%
NV,YouGov,08/02/2024,LV,,50.0,48.0,,,,,Y,,,,
NC,YouGov,08/02/2024,LV,,47.0,50.0,,,,,Y,,,,
MI,YouGov,08/02/2024,LV,,48.0,48.0,,,,,Y,,,,
NV,BSG,08/02/2024,LV,403.0,42.0,47.0,5.0,,,,N,,,,
WI,YouGov,08/02/2024,LV,,49.0,50.0,,,,,Y,,,,
WI,BSG,08/02/2024,LV,404.0,48.0,43.0,5.0,,,,N,,,,
PA,BSG,08/02/2024,LV,411.0,48.0,43.0,5.0,,,,N,,,,
NC,BSG,08/02/2024,LV,403.0,46.0,44.0,4.0,,,,N,,,,
AZ,YouGov,08/02/2024,LV,,49.0,49.0,,,,,Y,,,,
National,YouGov,08/02/2024,LV,,50.0,49.0,,,,,Y,,,"3,102 RV",1%
PA,YouGov,08/02/2024,LV,,50.0,50.0,,,,,Y,,,,
MI,BSG,08/02/2024,LV,406.0,46.0,44.0,6.0,,,,N,,,,
AZ,BSG,08/02/2024,LV,435.0,46.0,42.0,7.0,,,,N,,,,
AZ,Redfield,08/02/2024,LV,,44.0,43.0,4.0,,0.0,,N,,,,
FL,Redfield,08/02/2024,LV,,41.0,47.0,5.0,1.0,0.0,,N,,,,
GA,Redfield,08/02/2024,LV,,44.0,46.0,3.0,1.0,0.0,,N,,,,
GA,BSG,08/02/2024,LV,405.0,46.0,46.0,4.0,,,,N,,,,
MN,Redfield,08/02/2024,LV,,46.0,41.0,3.0,0.0,0.0,,N,,,,
MI,Redfield,08/02/2024,LV,,41.0,42.0,5.0,1.0,0.0,,N,,,,
NM,Redfield,08/02/2024,LV,,44.0,37.0,8.0,0.0,0.0,,N,,,,
NC,Redfield,08/02/2024,LV,,41.0,44.0,4.0,,1.0,,N,,,,
PA,Redfield,08/02/2024,LV,,44.0,46.0,3.0,0.0,0.0,,N,,,,
WI,Redfield,08/02/2024,LV,,43.0,43.0,3.0,0.0,0.0,,N,,,,
PA,GQR,08/02/2024,LV,,50.0,46.0,2.0,,,,N,,,,
NV,Redfield,08/02/2024,LV,,40.0,40.0,5.0,1.0,0.0,,N,,,,
GA,YouGov,08/02/2024,LV,,47.0,50.0,,,,,Y,,,,
National,Morning Consult[8],08/04/2024, RV,,48.0,44.0,,,,,Y,,,"11,265 RV",8%
National,Hart Research,08/04/2024,RV,,46.0,48.0,,,,,Y,,,,
National,Marist,08/04/2024,RV,,51.0,48.0,,,,,Y,,,1513,
National,SurveyUSA,08/05/2024,LV,,48.0,45.0,,,,,Y,,,"1,510",
AZ,Iron Light,08/05/2024,LV,600.0,43.0,43.0,7.0,,,,N,R,,,
NV,Wolfson,08/05/2024,LV,,49.2,43.6,3.9,0.6,0.6,,N,,,,
AZ,HighGround,08/05/2024,LV,,44.0,42.0,,,,,Y,,,,
MT,Emerson,08/06/2024,LV,,43.0,58.0,,,,,Y,,,,
MT,Emerson,08/06/2024,LV,,39.0,54.0,5.0,,,,N,,,,
National,RMG,08/07/2024,LV,,49.0,49.0,,,,,Y,,,,
National,Ipsos/Reuters,08/07/2024,RV,,49.0,47.0,,,,,Y,,,1342,
National,YouGov,08/07/2024,RV,,47.0,45.0,,1.0,,0.0,Y,,,1368,
NC,Cygnal,08/07/2024,LV,,44.0,47.0,4.0,,1.0,,N,,,,
NV,Trafalgar,08/08/2024,LV,,45.0,48.0,,,,,Y,R,,,
National,Morning Consult,08/08/2024,LV,,47.0,44.0,,,,,Y,,,4000,
National,Quantus Polls and News,08/08/2024,RV,,47.0,46.0,,,,,Y,,,1000,
MI,InsiderAdvantage,08/08/2024,LV,,49.0,47.0,,,,,Y,,,,
WI,InsiderAdvantage,08/08/2024,LV,,48.0,49.0,,,,,Y,,,,
PA,Trafalgar,08/08/2024,LV,,44.0,46.0,,,,,Y,R,,,
AZ,Trafalgar,08/08/2024,LV,,47.0,48.0,,,,,Y,R,,,
NC,Trafalgar,08/08/2024,LV,,45.0,49.0,,,,,Y,R,,,
FL,McLaughlin,08/08/2024,LV,,44.0,52.0,3.0,,,,N,,,,
MI,Siena,08/09/2024,LV,,50.0,46.0,,,,,Y,,,,
PA,Siena,08/09/2024,LV,,50.0,46.0,,,,,Y,,,,
WI,Siena,08/09/2024,LV,,50.0,46.0,,,,,Y,,,,
WI,Bullfinch,08/11/2024,RV,,49.0,40.0,3.0,1.0,,1.0,N,,,,
National,Morning Consult,08/11/2024,RV,,48.0,44.0,,,,,Y,,,"11,778",
PA,Bullfinch,08/11/2024,RV,,49.0,45.0,,,,,Y,,,,
PA,Bullfinch,08/11/2024,RV,,45.0,41.0,6.0,0.0,,2.0,N,,,,
MI,Bullfinch,08/11/2024,RV,,48.0,43.0,,,,,Y,,,,
MI,Bullfinch,08/11/2024,RV,,46.0,40.0,7.0,1.0,,1.0,N,,,,
MI,Fabrizo/Lee,08/11/2024,LV,600.0,48.0,48.0,,,,,Y,,,,
MI,Fabrizio/Lee,08/11/2024,LV,600.0,43.0,45.0,6.0,1.0,0.0,1.0,N,,,,
PA,Franklin & Marshall,08/11/2024,RV,920.0,46.0,43.0,6.0,1.0,1.0,,N,,,,
CA,UC Berkley,08/11/2024,LV,3765.0,59.0,34.0,,,,,Y,,,,
FL,FAU,08/11/2024,LV,1040.0,47.0,50.0,,,,,Y,,,,
FL,FAU,08/11/2024,LV,1040.0,45.0,47.0,5.0,,,,N,,,,
WI,Bullfinch,08/11/2024,RV,,51.0,42.0,,,,,Y,,,,
FL,Suffolk,08/11/2024,LV,,42.0,47.0,5.0,,,,N,,,,
MT,American Pulse,08/12/2024,RV,538.0,38.0,52.0,6.0,,2.0,,N,,,,
National,Beacon Shaw,08/12/2024,RV,,49.0,50.0,,,,,Y,,,1105,
PA,Quinnipiac,08/12/2024,LV,1738.0,48.0,45.0,4.0,0.0,0.0,,N,,,,
PA,Quinnipiac,08/12/2024,LV,1738.0,50.0,47.0,,,,,Y,,,,
National,Ipsos/Reuters,08/14/2024,LV,,51.0,45.0,,,,,Y,,,"2,336",
AZ,Strategies360,08/14/2024,RV,400.0,47.0,46.0,,,,,Y,,,,
NV,Strategies360,08/14/2024,RV,350.0,48.0,42.0,,,,,N,,,,
NC,Siena,08/14/2024,LV,655.0,49.0,47.0,,,,,Y,,,,
WI,TIPP,08/14/2024,LV,976.0,46.0,45.0,6.0,1.0,,1.0,N,,,,
PA,Emerson,08/14/2024,LV,1000.0,47.0,47.0,3.0,0.0,0.0,0.0,N,,,,
WI,TIPP,08/14/2024,LV,976.0,47.0,47.0,,,,,Y,,,,
GA,Siena,08/14/2024,LV,661.0,46.0,50.0,,,,,Y,,,,
GA,Siena,08/14/2024,LV,661.0,44.0,47.0,4.0,,,,N,,,,
National,Activote,08/14/2024,LV,,52.4,47.6,,,,,Y,,,1000,
National,Emerson,08/14/2024,LV,,50.0,46.0,,,,,Y,,,1000,
MT,RMG Research,08/14/2024,RV,540.0,39.0,57.0,2.0,,,,N,,,,
NC,Siena,08/14/2024,LV,655.0,46.0,44.0,4.0,,,,N,,,,
National,Cygnal,08/14/2024,LV,,48.0,47.0,,,,,Y,,,1500,
PA,Emerson,08/14/2024,LV,1000.0,49.0,51.0,,,,,N,,,,
MI,Redfield,08/15/2024,LV,530.0,44.0,45.0,,1.0,,,Y,,*technically third party but Knnedy not included,,
National,Outward Intelligence,08/15/2024,LV,,53.0,47.0,,,,,Y,,,1858,
FL,Redfield,08/15/2024,LV,1296.0,43.0,48.0,3.0,0.0,1.0,,N,,,,
MN,Redfield,08/15/2024,LV,475.0,47.0,40.0,3.0,,0.0,0.0,N,,,,
AZ,Siena,08/15/2024,LV,678.0,50.0,45.0,,,,,N,,,,
AZ,Siena,08/15/2024,LV,678.0,47.0,43.0,5.0,,,,Y,,,,
NM,Redfield,08/15/2024,LV,453.0,47.0,41.0,6.0,0.0,,0.0,N,,,,
AZ,Redfield,08/15/2024,LV,592.0,43.0,44.0,5.0,0.0,1.0,,N,,,,
GA,Redfield,08/15/2024,LV,692.0,46.0,46.0,2.0,,,,N,,,,
National,Morning Consult,08/15/2024,RV,,48.0,44.0,,,,,Y,,,4000,
NV,Redfield,08/15/2024,LV,536.0,42.0,43.0,6.0,,,,N,,,,
WI,Quantus,08/15/2024,RV,601.0,46.2,44.6,4.0,,,,N,R,,,
PA,Redfield,08/15/2024,LV,825.0,46.0,44.0,4.0,0.0,0.0,,N,,,,
WI,Redfield,08/15/2024,LV,469.0,48.0,44.0,3.0,0.0,,0.0,N,,,,
NV,Siena,08/15/2024,LV,677.0,47.0,48.0,,,,,Y,,,,
NV,Siena,08/15/2024,LV,677.0,44.0,46.0,4.0,,,,N,,,,
PA,Cygnal,08/15/2024,LV,800.0,48.0,47.0,,,,,N,,,,
PA,Cygnal,08/15/2024,LV,800.0,43.0,44.0,5.0,2.0,,2.0,N,,,,
WI,Quantus,08/15/2024,RV,601.0,47.8,46.9,,,,,Y,R,,,
NC,Redfield,08/15/2024,LV,601.0,44.0,47.0,2.0,0.0,1.0,,N,,,,
NV,Focaldata,08/16/2024,LV,702.0,48.0,42.0,,,,,Y,,,,
WI,Focaldata,08/16/2024,LV,702.0,50.0,44.0,,,,,Y,,,,
VA,Roanoke,08/16/2024,LV,691.0,45.0,42.0,6.0,0.0,2.0,2.0,N,,,,
VA,Roanoke,08/16/2024,LV,691.0,47.0,44.0,,,,,Y,,,,
AZ,Noble Predictive,08/16/2024,RV,1000.0,44.0,47.0,,,,,Y,,,,
NC,Focaldata,08/16/2024,LV,702.0,47.0,46.0,,,,,Y,,,,
National,YouGov,08/16/2024,LV,,51.0,48.0,,,,,Y,,,"3,253",
National,Morning Consult,08/16/2024,RV,,48.0,44.0,,,,,Y,,,"11,501",
PA,Focaldata,08/16/2024,LV,702.0,48.0,47.0,,,,,Y,,,,
MI,Focaldata,08/16/2024,LV,702.0,51.0,44.0,,,,,Y,,,,
AZ,Focaldata,08/16/2024,LV,702.0,45.0,46.0,,,,,Y,,,,
GA,Focaldata,08/16/2024,LV,702.0,45.0,49.0,,,,,Y,,,,
TX,YouGov,08/16/2024,LV,1365.0,44.6,49.5,2.0,0.7,0.5,,N,,,,
MO,YouGov,08/16/2024,LV,,41.0,54.0,,,,,Y,,,,
NE2,Change Research,08/17/2024,LV,437.0,47.0,42.0,5.0,,,,N,,,,
NE2,Remington,08/17/2024,LV,656.0,50.0,42.0,2.0,9.0,,1.0,N,,,,
National,SoCal,08/18/2024,LV,,50.0,48.0,,,,,Y,R,,876,
ME2,UNH,08/19/2024,LV,443.0,52.0,47.0,,,,,Y,,,,
ME2,UNH,08/19/2024,LV,443.0,49.0,44.0,2.0,,,,N,,,,
ME1,UNH,08/19/2024,LV,476.0,64.0,36.0,,,,,Y,,,,
ME1,UNH,08/19/2024,LV,490.0,62.0,33.0,2.0,0.0,1.0,0.0,N,,,,
ME,UNH,08/19/2024,LV,951.0,55.0,38.0,2.0,1.0,1.0,0.0,N,,,,
NH,UNH,08/19/2024,LV,2042.0,52.0,47.0,,,,,Y,,,,
VT,UNH,08/19/2024,LV,942.0,70.0,29.0,,,,,Y,,,,
VT,UNH,08/19/2024,LV,942.0,67.0,27.0,3.0,,,,N,,,,
PA,InsiderAdvantage,08/19/2024,LV,,46.0,47.0,,,,,Y,,,,
ME,UNH,08/19/2024,LV,951.0,58.0,41.0,,,,,Y,,,,
NH,UNH,08/19/2024,LV,2042.0,50.0,43.0,3.0,,,,N,,,,
AZ,Spry Strategies,08/20/2024,LV,600.0,48.0,49.0,,,,,Y,R,,,
GA,Spry Strategies,08/20/2024,LV,600.0,49.0,49.0,,,,,Y,R,,,
NC,Spry Strategies,08/20/2024,LV,600.0,47.0,47.0,,,,,Y,R,,,
PA,Spry Strategies,08/20/2024,LV,600.0,48.0,47.0,,,,,Y,R,,,
WI,Spry Strategies,08/20/2024,LV,600.0,48.0,45.0,,,,,Y,R,,,
WI,BK Strategies,08/21/2024,LV,600.0,48.0,43.0,,,,,Y,,,,
NC,SurveyUSA,08/21/2024,RV,1053.0,46.0,45.0,,,,,Y,,,,
WI,Fabrizio/Ward,08/21/2024,LV,400.0,49.0,45.0,,,,,Y,,,,
PA,Fabrizio/Ward,08/21/2024,LV,400.0,46.0,47.0,,,,,Y,,,,
MI,Fabrizio/Ward,08/21/2024,LV,400.0,46.0,48.0,,,,,Y,,,,
National,RMG,08/22/2024,LV,,49.0,49.0,,,,,Y,,,2404,
National,Morning Consult,08/22/2024,RV,,48.0,44.0,,,,,Y,,,4000,
NM,Emerson,08/22/2024,RV,965.0,51.0,40.0,3.0,,,,N,,,,
NM,Emerson,08/22/2024,RV,965.0,54.0,46.0,,,,,Y,,,,
VA,Quantus,08/22/2024,RV,629.0,49.0,46.0,,,,,Y,R,,,
MI,TIPP,08/22/2024,LV,741.0,48.0,46.0,,,,,Y,,,,
FL,PPP,08/22/2024,LV,837.0,47.0,51.0,,,,,Y,D,,,
National,Outward Intelligence,08/22/2024,LV,,52.0,48.0,,,,,Y,,,1867,
TX,PPP,08/22/2024,LV,725.0,44.0,49.0,,,,,Y,D,,,
PA,SoCal,08/23/2024,LV,713.0,47.0,48.0,,,,,Y,R,,,
WI,YouGov,08/23/2024,LV,,51.0,46.0,,,,,Y,,,,
PA,YouGov,08/23/2024,LV,,47.0,47.0,,,,,Y,,,,
MI,YouGov,08/23/2024,LV,,48.0,47.0,,,,,Y,,,,
National,FAU/Mainstreet Research,08/23/2024,LV,,49.0,45.0,,,,,Y,,,929,
National,Kaplan,08/24/2024,LV,,52.0,45.0,,,,,Y,,,1257,
National,Angus Reid Global,08/24/2024,RV,,47.0,42.0,,,,,Y,,,1758,
National,Leger,08/25/2024,LV,,50.0,46.0,,,,,Y,,,863,
National,Echelon,08/25/2024,LV,,48.0,48.0,,,,,Y,,,1031,
National,Morning Consult,08/25/2024,RV,,48.0,44.0,,,,,Y,,,7818,
National,YouGov,08/26/2024,RV,,47.0,46.0,,,,,Y,,,1197,
National,Change Research,08/26/2024,RV,,48.0,43.0,,,,,Y,,,2626,
AZ,Beacon,08/26/2024,RV,,50.0,49.0,,,,,Y,,,,
NC,Beacon,08/26/2024,RV,,49.0,50.0,,,,,Y,,,,
FL,Cherry,08/26/2024,LV,600.0,45.0,52.0,,,,,Y,,,,
NV,Beacon,08/26/2024,RV,,50.0,48.0,,,,,Y,,,,
CA,Capitol Weekly,08/26/2024,LV,3154.0,58.0,36.0,4.0,2.0,,,N,,,,
MI,EPIC-MRA,08/26/2024,LV,600.0,46.0,47.0,,,,,Y,,,,
WI,Z to A Research,08/26/2024,LV,518.0,47.0,47.0,2.0,0.0,1.0,,N,D,,,
PA,Z to A Research,08/26/2024,LV,613.0,46.0,46.0,5.0,,,,N,D,,,
MI,Z to A Research,08/26/2024,LV,500.0,47.0,47.0,3.0,1.0,1.0,,N,D,,,
GA,Beacon,08/26/2024,RV,,50.0,48.0,,,,,Y,,,,
MI,Morning Consult,08/27/2024,RV,702.0,49.0,46.0,,,,,Y,,,,
NE,SurveyUSA,08/27/2024,RV,1293.0,37.0,54.0,,,,,Y,,,,
WI,Morning Consult,08/27/2024,RV,701.0,52.0,44.0,,,,,Y,,,,
National,Quantus Polls and News,08/27/2024,LV,,49.0,47.0,,,,,Y,,,1094,
NE2,SurveyUSA,08/27/2024,RV,507.0,47.0,42.0,,,,,Y,,,,
AZ,Morning Consult,08/27/2024,RV,805.0,48.0,48.0,,,,,Y,,,,
GA,Morning Consult,08/27/2024,RV,901.0,49.0,47.0,,,,,Y,,,,
National,Quinnipiac,08/27/2024,LV,,49.0,47.0,,1.0,1.0,,Y,,,1611,
PA,Morning Consult,08/27/2024,RV,803.0,51.0,47.0,,,,,Y,,,,
WV,Research America,08/27/2024,LV,400.0,34.0,61.0,,,,,Y,,,,
National,Quinnipiac,08/27/2024,LV,,49.0,48.0,,,,,Y,,,1611,
National,Suffolk,08/27/2024,LV,,48.0,43.0,,,,,Y,,,1000,
NC,SoCal,08/27/2024,LV,512.0,46.0,50.0,,,,,Y,R,,,
National,Ipsos/Reuters,08/27/2024,LV,,52.0,46.0,,,,,Y,,,,
NV,Morning Consult,08/27/2024,RV,450.0,49.0,45.0,,,,,Y,,,,
NC,Morning Consult,08/27/2024,RV,700.0,49.0,47.0,,,,,Y,,,,
National,Fabrizio/Lee,08/28/2024,LV,,48.0,47.0,,,,,Y,,,1500,
GA,Emerson,08/28/2024,LV,,49.0,48.0,,,,,Y,,,,
AZ,Redfield,08/28/2024,LV,600.0,40.0,43.0,,,,,Y,,,,
NV,Emerson,08/28/2024,LV,,49.0,48.0,,,,,Y,,,,
AZ,Emerson,08/28/2024,LV,,47.0,50.0,,,,,Y,,,,
MI,Emerson,08/28/2024,LV,,50.0,47.0,,,,,Y,,,,
FL,Redfield,08/28/2024,LV,850.0,43.0,48.0,,,,,Y,,,,
MN,Redfield,08/28/2024,LV,426.0,51.0,42.0,,,,,Y,,,,
NC,East Carolina,08/28/2024,LV,920.0,47.0,48.0,,,,1.0,Y,,,,
National,Ipsos/Reuters,08/28/2024,RV,,45.0,41.0,,,,,Y,,,3562,
National,Clarity,08/28/2024,LV,,51.0,45.0,,,,,Y,,,1238,
National,RMG,08/28/2024,LV,,51.0,48.0,,,,,Y,,,2441,
National,Fabrizio/Lee,08/28/2024,LV,,47.0,45.0,,1.0,1.0,1.0,Y,,,1500,
WI,Emerson,08/28/2024,LV,,48.0,49.0,,,,,Y,,,,
MI,Redfield,08/28/2024,LV,761.0,47.0,44.0,,1.0,1.0,,Y,,,,
PA,Emerson,08/28/2024,LV,,48.0,48.0,,,,,Y,,,,
WI,Redfield,08/28/2024,LV,672.0,48.0,44.0,,,,,Y,,,,
National,Big Village,08/28/2024,LV,,50.0,43.0,,,,,Y,,,1511,
NC,Redfield,08/28/2024,LV,812.0,44.0,45.0,,,,,Y,,,,
NM,Redfield,08/28/2024,LV,488.0,47.0,40.0,,,,,Y,,,,
NV,Redfield,08/28/2024,LV,490.0,47.0,47.0,,,,,Y,,,,
